Iteration,Loss
0,-0.2391456514596939
1,-0.24474062025547028
2,-0.24690869450569153
3,-0.24784277379512787
4,-0.2457371950149536
5,-0.24389147758483887
6,-0.2433670461177826
7,-0.2394178956747055
8,-0.24052876234054565
9,-0.2444409281015396
10,-0.2475241720676422
11,-0.23997563123703003
12,-0.24471116065979004
13,-0.24098366498947144
14,-0.2465651035308838
15,-0.24297091364860535
16,-0.23962008953094482
17,-0.20268197357654572
18,-0.21722328662872314
19,-0.2183404564857483
20,-0.22097918391227722
21,-0.22242890298366547
22,-0.2266247272491455
23,-0.2298589050769806
24,-0.23236864805221558
25,-0.22711241245269775
26,-0.23928198218345642
27,-0.24480101466178894
28,-0.24649490416049957
29,-0.243827223777771
30,-0.24584442377090454
31,-0.24640950560569763
32,-0.2469201236963272
33,-0.24792510271072388
34,-0.2482667863368988
35,-0.24721616506576538
36,-0.24408648908138275
37,-0.24703045189380646
38,-0.24402089416980743
39,-0.2516443729400635
40,-0.2523912191390991
41,-0.2541404366493225
42,-0.2544492781162262
43,-0.25539928674697876
44,-0.2559128999710083
45,-0.2569010853767395
46,-0.2553637623786926
47,-0.24727770686149597
48,-0.24924713373184204
49,-0.25579455494880676
50,-0.2574962079524994
51,-0.25745296478271484
52,-0.2600644826889038
53,-0.26026052236557007
54,-0.2591439485549927
55,-0.26018375158309937
56,-0.2602260112762451
57,-0.260408490896225
58,-0.2603008449077606
59,-0.260429710149765
60,-0.2604118585586548
61,-0.260647714138031
62,-0.2608208656311035
63,-0.2602803409099579
64,-0.2610800564289093
65,-0.26047948002815247
66,-0.2568465769290924
67,-0.25781333446502686
68,-0.25733235478401184
69,-0.25792452692985535
70,-0.25804758071899414
71,-0.25841253995895386
72,-0.2585838735103607
73,-0.25883474946022034
74,-0.259046733379364
75,-0.25936073064804077
76,-0.2596770226955414
77,-0.2599036693572998
78,-0.2602444291114807
79,-0.2602747678756714
80,-0.26118627190589905
81,-0.26119187474250793
82,-0.26172536611557007
83,-0.2619336247444153
84,-0.26230472326278687
85,-0.26289698481559753
86,-0.24975019693374634
87,-0.25632062554359436
88,-0.2597925066947937
89,-0.2618933320045471
90,-0.262346476316452
91,-0.2630883753299713
92,-0.2625466287136078
93,-0.2622561454772949
94,-0.2628558278083801
95,-0.26225706934928894
96,-0.26182448863983154
97,-0.2624332308769226
98,-0.2625398635864258
99,-0.2621666193008423
