Iteration,Loss
0,-0.27632853388786316
1,-0.27678847312927246
2,-0.27704688906669617
3,-0.2773635983467102
4,-0.27777573466300964
5,-0.27810999751091003
6,-0.2785419523715973
7,-0.27947843074798584
8,-0.2806316614151001
9,-0.28134840726852417
10,-0.28158432245254517
11,-0.28211870789527893
12,-0.2827391028404236
13,-0.2837730944156647
14,-0.285492867231369
15,-0.2876843810081482
16,-0.28886887431144714
17,-0.2893883287906647
18,-0.28977805376052856
19,-0.2900809645652771
20,-0.29031437635421753
21,-0.29049408435821533
22,-0.2906641960144043
23,-0.29077890515327454
24,-0.2908777892589569
25,-0.2910000681877136
26,-0.29111143946647644
27,-0.2912043333053589
28,-0.29127562046051025
29,-0.2913428544998169
30,-0.29136037826538086
31,-0.29147860407829285
32,-0.2914678454399109
33,-0.2916436195373535
34,-0.29168272018432617
35,-0.2917998135089874
36,-0.2918383777141571
37,-0.2920342981815338
38,-0.2920418679714203
39,-0.2923559844493866
40,-0.29248031973838806
41,-0.29261940717697144
42,-0.293039470911026
43,-0.2934497892856598
44,-0.2939137816429138
45,-0.29410499334335327
46,-0.29440754652023315
47,-0.29470229148864746
48,-0.2949230968952179
49,-0.2950626015663147
50,-0.29536858201026917
51,-0.29558268189430237
52,-0.2960090935230255
53,-0.29677248001098633
54,-0.2969505488872528
55,-0.297061026096344
56,-0.29706865549087524
57,-0.29722651839256287
58,-0.2972524166107178
59,-0.29731982946395874
60,-0.2973996698856354
61,-0.29752784967422485
62,-0.2976357638835907
63,-0.29773083329200745
64,-0.29782405495643616
65,-0.2979166805744171
66,-0.29801973700523376
67,-0.2981170415878296
68,-0.2982220947742462
69,-0.29835158586502075
70,-0.29850369691848755
71,-0.29869651794433594
72,-0.29896098375320435
73,-0.2992558181285858
74,-0.29945239424705505
75,-0.2996537387371063
76,-0.2998213768005371
77,-0.3000098466873169
78,-0.30018001794815063
79,-0.3004290759563446
80,-0.3005945682525635
81,-0.3007640838623047
82,-0.3009035587310791
83,-0.3010505735874176
84,-0.3011249899864197
85,-0.3012827932834625
86,-0.30141156911849976
87,-0.30164211988449097
88,-0.29900458455085754
89,-0.3017696738243103
90,-0.30211636424064636
91,-0.30014899373054504
92,-0.30069664120674133
93,-0.30040159821510315
94,-0.29927903413772583
95,-0.30074697732925415
96,-0.30160802602767944
97,-0.3033645451068878
98,-0.300177663564682
99,-0.30088162422180176
