Iteration,Loss
0,-0.10283380001783371
1,-0.09475676715373993
2,-0.1336001753807068
3,-0.15717843174934387
4,-0.18735253810882568
5,-0.11896976828575134
6,-0.12780319154262543
7,-0.13277631998062134
8,-0.13565605878829956
9,-0.1350097358226776
10,-0.14331623911857605
11,-0.1811823695898056
12,-0.2090234011411667
13,-0.2260914146900177
14,-0.20725654065608978
15,-0.20991076529026031
16,-0.1681853085756302
17,-0.20166967809200287
18,-0.21546399593353271
19,-0.16313929855823517
20,-0.1674625277519226
21,-0.2257959246635437
22,-0.23401343822479248
23,-0.23063385486602783
24,-0.22690922021865845
25,-0.16180095076560974
26,-0.17028117179870605
27,-0.21738041937351227
28,-0.2151608169078827
29,-0.21383482217788696
30,-0.22692394256591797
31,-0.186671644449234
32,-0.22867372632026672
33,-0.23571795225143433
34,-0.2346419095993042
35,-0.22327011823654175
36,-0.21786543726921082
37,-0.21259446442127228
38,-0.19577276706695557
39,-0.21715472638607025
40,-0.2210177779197693
41,-0.23031596839427948
42,-0.23509928584098816
43,-0.23933514952659607
44,-0.24489478766918182
45,-0.21442756056785583
46,-0.23424366116523743
47,-0.2280598133802414
48,-0.2157309502363205
49,-0.21533411741256714
50,-0.1774873286485672
51,-0.1616668701171875
52,-0.2527816891670227
53,-0.1749953329563141
54,-0.1903335303068161
55,-0.1851998269557953
56,-0.19554488360881805
57,-0.23815202713012695
58,-0.2065415233373642
59,-0.19797591865062714
60,-0.18801286816596985
61,-0.21061475574970245
62,-0.20230436325073242
63,-0.1859929859638214
64,-0.19356414675712585
65,-0.19038522243499756
66,-0.19308297336101532
67,-0.19404056668281555
68,-0.1981237232685089
69,-0.19808216392993927
70,-0.19621871411800385
71,-0.2050073891878128
72,-0.20621486008167267
73,-0.21150723099708557
74,-0.20807598531246185
75,-0.2093791961669922
76,-0.21265055239200592
77,-0.2120666205883026
78,-0.2051897794008255
79,-0.21148692071437836
80,-0.21264208853244781
81,-0.2116125524044037
82,-0.21212324500083923
83,-0.2158815562725067
84,-0.2236907184123993
85,-0.20395419001579285
86,-0.21032372117042542
87,-0.20127396285533905
88,-0.20886264741420746
89,-0.21068745851516724
90,-0.20207157731056213
91,-0.20830626785755157
92,-0.21202470362186432
93,-0.2092006653547287
94,-0.21158798038959503
95,-0.21110768616199493
96,-0.21108971536159515
97,-0.20089706778526306
98,-0.2087973803281784
99,-0.20666249096393585
