Iteration,Loss
0,-0.26696401834487915
1,-0.2682033181190491
2,-0.2681531608104706
3,-0.2691871225833893
4,-0.27057695388793945
5,-0.27171024680137634
6,-0.2727868854999542
7,-0.27408164739608765
8,-0.27535825967788696
9,-0.2766127288341522
10,-0.27782273292541504
11,-0.27888280153274536
12,-0.2800087332725525
13,-0.28110072016716003
14,-0.28366950154304504
15,-0.28396138548851013
16,-0.2848871350288391
17,-0.2857547700405121
18,-0.28657153248786926
19,-0.28739839792251587
20,-0.2882043421268463
21,-0.2889779210090637
22,-0.2896999716758728
23,-0.2904142141342163
24,-0.2911030948162079
25,-0.29176560044288635
26,-0.29448583722114563
27,-0.2949537932872772
28,-0.2956050634384155
29,-0.2962293326854706
30,-0.29636189341545105
31,-0.29662734270095825
32,-0.29689905047416687
33,-0.29738929867744446
34,-0.29786205291748047
35,-0.29830819368362427
36,-0.29874077439308167
37,-0.2991536855697632
38,-0.29955706000328064
39,-0.29993653297424316
40,-0.30031532049179077
41,-0.3006690442562103
42,-0.30095410346984863
43,-0.30129772424697876
44,-0.3016345798969269
45,-0.30070245265960693
46,-0.3003144860267639
47,-0.30069172382354736
48,-0.3010641932487488
49,-0.30106937885284424
50,-0.30147257447242737
51,-0.3018146753311157
52,-0.3020913898944855
53,-0.30232715606689453
54,-0.30236390233039856
55,-0.3026983439922333
56,-0.3030265271663666
57,-0.30335676670074463
58,-0.3036801815032959
59,-0.3039986193180084
60,-0.3043154776096344
61,-0.30456334352493286
62,-0.304868221282959
63,-0.3051687479019165
64,-0.30547475814819336
65,-0.3057744801044464
66,-0.30607131123542786
67,-0.30636322498321533
68,-0.3066489100456238
69,-0.30618900060653687
70,-0.30644479393959045
71,-0.3066996932029724
72,-0.3069465458393097
73,-0.30719175934791565
74,-0.3074348270893097
75,-0.31042787432670593
76,-0.3106503486633301
77,-0.3108750581741333
78,-0.3110957145690918
79,-0.31131017208099365
80,-0.31152018904685974
81,-0.31173381209373474
82,-0.31195029616355896
83,-0.3121575117111206
84,-0.3123649060726166
85,-0.31257209181785583
86,-0.31275561451911926
87,-0.31295883655548096
88,-0.313175231218338
89,-0.3133694529533386
90,-0.31357014179229736
91,-0.31375348567962646
92,-0.3139554560184479
93,-0.31415748596191406
94,-0.31435441970825195
95,-0.31455257534980774
96,-0.3147489130496979
97,-0.31493809819221497
98,-0.3147323429584503
99,-0.3149231970310211
