Iteration,Loss
0,-0.11677426844835281
1,-0.13086214661598206
2,-0.14339789748191833
3,-0.15205861628055573
4,-0.15506517887115479
5,-0.13788633048534393
6,-0.15333253145217896
7,-0.17183656990528107
8,-0.18878372013568878
9,-0.17253880202770233
10,-0.18857991695404053
11,-0.17657940089702606
12,-0.17806880176067352
13,-0.18465276062488556
14,-0.18933619558811188
15,-0.18051938712596893
16,-0.20027421414852142
17,-0.19763845205307007
18,-0.19886985421180725
19,-0.18059523403644562
20,-0.19925406575202942
21,-0.1967795342206955
22,-0.2015882134437561
23,-0.20401379466056824
24,-0.21054603159427643
25,-0.1971285343170166
26,-0.20484808087348938
27,-0.20178785920143127
28,-0.20522378385066986
29,-0.20519453287124634
30,-0.2013615220785141
31,-0.2055632472038269
32,-0.2081965208053589
33,-0.20931339263916016
34,-0.20977231860160828
35,-0.20769380033016205
36,-0.2088109254837036
37,-0.20729473233222961
38,-0.20975056290626526
39,-0.20762138068675995
40,-0.20910002291202545
41,-0.2031417191028595
42,-0.2064608484506607
43,-0.20674923062324524
44,-0.20680919289588928
45,-0.2096738964319229
46,-0.2074563354253769
47,-0.21090243756771088
48,-0.2091340869665146
49,-0.20986373722553253
50,-0.20722201466560364
51,-0.20655353367328644
52,-0.2038940042257309
53,-0.1983519345521927
54,-0.1821802705526352
55,-0.18539994955062866
56,-0.20784415304660797
57,-0.20308703184127808
58,-0.20868106186389923
59,-0.20458726584911346
60,-0.19738125801086426
61,-0.1650133728981018
62,-0.20205596089363098
63,-0.17826056480407715
64,-0.1842629760503769
65,-0.18690934777259827
66,-0.18586274981498718
67,-0.1860872209072113
68,-0.18675358593463898
69,-0.1884542852640152
70,-0.18948687613010406
71,-0.19041475653648376
72,-0.19098052382469177
73,-0.191274493932724
74,-0.19159555435180664
75,-0.1917904168367386
76,-0.19198547303676605
77,-0.1920112669467926
78,-0.19224953651428223
79,-0.1920994073152542
80,-0.19235442578792572
81,-0.19210702180862427
82,-0.19121110439300537
83,-0.19232328236103058
84,-0.19164727628231049
85,-0.19158096611499786
86,-0.19324076175689697
87,-0.19362086057662964
88,-0.19176463782787323
89,-0.19184888899326324
90,-0.1929364651441574
91,-0.1932837814092636
92,-0.19358429312705994
93,-0.19434045255184174
94,-0.19582778215408325
95,-0.19835248589515686
96,-0.19604481756687164
97,-0.1961173266172409
98,-0.20093511044979095
99,-0.19795875251293182
