Iteration,Loss
0,-0.3526875972747803
1,-0.3690888285636902
2,-0.2212245911359787
3,-0.1791580766439438
4,-0.18089543282985687
5,-0.18091289699077606
6,-0.16683915257453918
7,-0.152207612991333
8,-0.16463853418827057
9,-0.16453967988491058
10,-0.16449111700057983
11,-0.16430442035198212
12,-0.157676100730896
13,-0.162014901638031
14,-0.15684528648853302
15,-0.1570844203233719
16,-0.1616818606853485
17,-0.16109639406204224
18,-0.17271383106708527
19,-0.1634635180234909
20,-0.16272640228271484
21,-0.16229218244552612
22,-0.16048087179660797
23,-0.16078585386276245
24,-0.1560053676366806
25,-0.19828841090202332
26,-0.2844179570674896
27,-0.22209347784519196
28,-0.2820763885974884
29,-0.473071426153183
30,-0.4950242042541504
31,-0.24825868010520935
32,-0.2631787359714508
33,-0.28048041462898254
34,-0.2915066182613373
35,-0.28426826000213623
36,-0.28751039505004883
37,-0.2907432019710541
38,-0.29445770382881165
39,-0.2926363945007324
40,-0.2964657247066498
41,-0.2996032238006592
42,-0.3013944625854492
43,-0.27334144711494446
44,-0.3041595220565796
45,-0.27919191122055054
46,-0.31072211265563965
47,-0.28467559814453125
48,-0.3134518265724182
49,-0.31832292675971985
50,-0.32126230001449585
51,-0.32440412044525146
52,-0.3254382908344269
53,-0.32751891016960144
54,-0.32866936922073364
55,-0.33156824111938477
56,-0.32446959614753723
57,-0.33371034264564514
58,-0.3258393108844757
59,-0.32296785712242126
60,-0.3208009600639343
61,-0.335721880197525
62,-0.3297679126262665
63,-0.3251262605190277
64,-0.3331052362918854
65,-0.3334421217441559
66,-0.3262636065483093
67,-0.3235137164592743
68,-0.3261758089065552
69,-0.3351444900035858
70,-0.3295378088951111
71,-0.33085930347442627
72,-0.3264876902103424
73,-0.3313312828540802
74,-0.3320315480232239
75,-0.32130229473114014
76,-0.29689767956733704
77,-0.3038486838340759
78,-0.3268079161643982
79,-0.32003968954086304
80,-0.32749995589256287
81,-0.32211533188819885
82,-0.3268316984176636
83,-0.32328277826309204
84,-0.32921040058135986
85,-0.3237569332122803
86,-0.3219059407711029
87,-0.3216587007045746
88,-0.3287212550640106
89,-0.33153635263442993
90,-0.328952431678772
91,-0.31877967715263367
92,-0.323217511177063
93,-0.3253464698791504
94,-0.32593274116516113
95,-0.33392488956451416
96,-0.339149534702301
97,-0.3298974335193634
98,-0.33653131127357483
99,-0.3314761221408844
