Iteration,Loss
0,-0.5808015465736389
1,-0.5811900496482849
2,-0.5818891525268555
3,-0.5821345448493958
4,-0.5816804766654968
5,-0.5827035903930664
6,-0.581476628780365
7,-0.5813049077987671
8,-0.5805450081825256
9,-0.5828844308853149
10,-0.5843275785446167
11,-0.5882582664489746
12,-0.5963312387466431
13,-0.5965279340744019
14,-0.6008307337760925
15,-0.596032440662384
16,-0.6040518879890442
17,-0.5991582274436951
18,-0.6048812866210938
19,-0.6074150204658508
20,-0.6119834184646606
21,-0.6112307906150818
22,-0.611777126789093
23,-0.6078578233718872
24,-0.6097808480262756
25,-0.6080130934715271
26,-0.6059038043022156
27,-0.609487771987915
28,-0.6133988499641418
29,-0.6035504341125488
30,-0.6057544350624084
31,-0.6101662516593933
32,-0.5999247431755066
33,-0.5622116327285767
34,-0.6039272546768188
35,-0.5984901189804077
36,-0.61148601770401
37,-0.6106275320053101
38,-0.6024360656738281
39,-0.6084831357002258
40,-0.5946886539459229
41,-0.5813708901405334
42,-0.5928328037261963
43,-0.5992158055305481
44,-0.5918840169906616
45,-0.5955182909965515
46,-0.6088871359825134
47,-0.5970250368118286
48,-0.5824217796325684
49,-0.5915092825889587
50,-0.5945616960525513
51,-0.537051796913147
52,-0.5408244132995605
53,-0.5941347479820251
54,-0.621027410030365
55,-0.6079491376876831
56,-0.6118887662887573
57,-0.5854654312133789
58,-0.5767520666122437
59,-0.568560004234314
60,-0.5180816650390625
61,-0.4955860674381256
62,-0.4942283034324646
63,-0.5037106871604919
64,-0.524528443813324
65,-0.5183080434799194
66,-0.5193063020706177
67,-0.5199221968650818
68,-0.520048201084137
69,-0.5339749455451965
70,-0.5313233733177185
71,-0.5668424367904663
72,-0.5854183435440063
73,-0.5865992307662964
74,-0.5895616412162781
75,-0.5971919894218445
76,-0.5798382759094238
77,-0.5882126688957214
78,-0.585364043712616
79,-0.5892638564109802
80,-0.589442789554596
81,-0.5905982255935669
82,-0.5909255743026733
83,-0.591511070728302
84,-0.5923552513122559
85,-0.5936339497566223
86,-0.5875258445739746
87,-0.5790616869926453
88,-0.5849376320838928
89,-0.5940351486206055
90,nan
91,nan
92,nan
93,nan
94,nan
95,nan
96,nan
97,nan
98,nan
99,nan
