Iteration,Loss
0,-0.3306198716163635
1,-0.32764339447021484
2,-0.3496204912662506
3,-0.33703404664993286
4,-0.32984036207199097
5,-0.33331185579299927
6,-0.3300665020942688
7,-0.3351287245750427
8,-0.3330433964729309
9,-0.3350140452384949
10,-0.3270666003227234
11,-0.33657026290893555
12,-0.3277968168258667
13,-0.33111318945884705
14,-0.33598461747169495
15,-0.33319395780563354
16,-0.3063247799873352
17,-0.307830810546875
18,-0.33419716358184814
19,-0.3368012309074402
20,-0.33891308307647705
21,-0.33958160877227783
22,-0.34091806411743164
23,-0.3414123058319092
24,-0.34176453948020935
25,-0.34237733483314514
26,-0.34299349784851074
27,-0.34105053544044495
28,-0.34134119749069214
29,-0.34320855140686035
30,-0.34454718232154846
31,-0.3437630832195282
32,-0.3428758382797241
33,-0.3413871228694916
34,-0.34240826964378357
35,-0.3420889377593994
36,-0.3446704149246216
37,-0.3445834219455719
38,-0.34517359733581543
39,-0.3403981924057007
40,-0.3444254398345947
41,-0.3447287976741791
42,-0.34533047676086426
43,-0.343939870595932
44,-0.34475958347320557
45,-0.3447122871875763
46,-0.3461042642593384
47,-0.34663769602775574
48,-0.3467857241630554
49,-0.3460448086261749
50,-0.34451723098754883
51,-0.3450530469417572
52,-0.34475401043891907
53,-0.346381813287735
54,-0.34592413902282715
55,-0.3443836271762848
56,-0.34510013461112976
57,-0.34466177225112915
58,-0.3454955518245697
59,-0.3462279736995697
60,-0.34469616413116455
61,-0.345222145318985
62,-0.34549665451049805
63,-0.3467103838920593
64,-0.3441736400127411
65,-0.34544047713279724
66,-0.34510546922683716
67,-0.3454841375350952
68,-0.3473220467567444
69,-0.34626731276512146
70,-0.34489771723747253
71,-0.3453918397426605
72,-0.34586745500564575
73,-0.3451697826385498
74,-0.34587734937667847
75,-0.3454115092754364
76,-0.3458491265773773
77,-0.34613725543022156
78,-0.34529760479927063
79,-0.3460395336151123
80,-0.34538331627845764
81,-0.34620338678359985
82,-0.3461422324180603
83,-0.3470609188079834
84,-0.3443757891654968
85,-0.34600749611854553
86,-0.34773534536361694
87,-0.3471542000770569
88,-0.3448115289211273
89,-0.34530550241470337
90,-0.34576308727264404
91,-0.3477592170238495
92,-0.34798094630241394
93,-0.3481712341308594
94,-0.346358060836792
95,-0.346332311630249
96,-0.34779709577560425
97,-0.3482186198234558
98,-0.34744974970817566
99,-0.3464539349079132
