Iteration,Loss
0,-0.25806453824043274
1,-0.2580856382846832
2,-0.2581034004688263
3,-0.25812092423439026
4,-0.2581394612789154
5,-0.25815844535827637
6,-0.25817927718162537
7,-0.2581962049007416
8,-0.2582169473171234
9,-0.25823459029197693
10,-0.25825631618499756
11,-0.25827348232269287
12,-0.2583000063896179
13,-0.2583199739456177
14,-0.25834009051322937
15,-0.25835883617401123
16,-0.25837916135787964
17,-0.2583998441696167
18,-0.25841984152793884
19,-0.2584390640258789
20,-0.25845855474472046
21,-0.25847911834716797
22,-0.2584918439388275
23,-0.25851091742515564
24,-0.2585752010345459
25,-0.25860917568206787
26,-0.25863292813301086
27,-0.2586520314216614
28,-0.2586738169193268
29,-0.2589840590953827
30,-0.2590062618255615
31,-0.2590286135673523
32,-0.2590557634830475
33,-0.25907817482948303
34,-0.25910231471061707
35,-0.25912392139434814
36,-0.25914648175239563
37,-0.2591703534126282
38,-0.2591925859451294
39,-0.25921565294265747
40,-0.25923845171928406
41,-0.2594504654407501
42,-0.2594737410545349
43,-0.2594967484474182
44,-0.25951987504959106
45,-0.2595450282096863
46,-0.2595690190792084
47,-0.25959181785583496
48,-0.2596161365509033
49,-0.25964033603668213
50,-0.2596653699874878
51,-0.25968870520591736
52,-0.2597135305404663
53,-0.2597369849681854
54,-0.2597614824771881
55,-0.25978580117225647
56,-0.2598118185997009
57,-0.259534627199173
58,-0.2595595717430115
59,-0.2595877945423126
60,-0.2596134543418884
61,-0.2596382200717926
62,-0.259664386510849
63,-0.25968846678733826
64,-0.25971537828445435
65,-0.2597410976886749
66,-0.2597689628601074
67,-0.25979509949684143
68,-0.2601090669631958
69,-0.260134220123291
70,-0.2601620554924011
71,-0.2601870000362396
72,-0.2602139115333557
73,-0.2602393627166748
74,-0.26026758551597595
75,-0.2602972388267517
76,-0.2603241801261902
77,-0.26035016775131226
78,-0.2603769600391388
79,-0.26040390133857727
80,-0.26043128967285156
81,-0.26045817136764526
82,-0.26048609614372253
83,-0.26051443815231323
84,-0.2602408826351166
85,-0.2602677643299103
86,-0.26029956340789795
87,-0.2603272795677185
88,-0.2603580951690674
89,-0.2602941393852234
90,-0.26032498478889465
91,-0.26039770245552063
92,-0.2604276239871979
93,-0.2604580223560333
94,-0.2604885697364807
95,-0.26051947474479675
96,-0.260549932718277
97,-0.26058337092399597
98,-0.2606140673160553
99,-0.2606447637081146
