Iteration,Loss
0,-0.5079396963119507
1,-0.5083605051040649
2,-0.5087792873382568
3,-0.5091986060142517
4,-0.5096303224563599
5,-0.5100805759429932
6,-0.5106614232063293
7,-0.5110909342765808
8,-0.5115386247634888
9,-0.5119668841362
10,-0.5122231245040894
11,-0.5126757621765137
12,-0.51312655210495
13,-0.5135119557380676
14,-0.5139415264129639
15,-0.5135666728019714
16,-0.5141872763633728
17,-0.5148169994354248
18,-0.5152859091758728
19,-0.5157541632652283
20,-0.5161496996879578
21,-0.5162613987922668
22,-0.516727089881897
23,-0.5171911120414734
24,-0.5176531076431274
25,-0.5181136131286621
26,-0.5185739994049072
27,-0.5190353393554688
28,-0.5192531943321228
29,-0.519653856754303
30,-0.5201151371002197
31,-0.5205779671669006
32,-0.5210415124893188
33,-0.5215392112731934
34,-0.5220925807952881
35,-0.5215370655059814
36,-0.5219522714614868
37,-0.5223758220672607
38,-0.5228320360183716
39,-0.5230127573013306
40,-0.5234650373458862
41,-0.5239134430885315
42,-0.5243221521377563
43,-0.5246390700340271
44,-0.5250639319419861
45,-0.5260592103004456
46,-0.5264708399772644
47,-0.5268584489822388
48,-0.5272402167320251
49,-0.5276559591293335
50,-0.5280332565307617
51,-0.5284250378608704
52,-0.5287456512451172
53,-0.5291249752044678
54,-0.529432475566864
55,-0.5287721157073975
56,-0.5291208028793335
57,-0.5294950604438782
58,-0.529660701751709
59,-0.5301066637039185
60,-0.5304319858551025
61,-0.5308003425598145
62,-0.5311667919158936
63,-0.5314853191375732
64,-0.531781017780304
65,-0.5320988893508911
66,-0.5323979258537292
67,-0.5327297449111938
68,-0.5330850481987
69,-0.5334418416023254
70,-0.5335662961006165
71,-0.5339211821556091
72,-0.5342430472373962
73,-0.5345941185951233
74,-0.5349385738372803
75,-0.5352342128753662
76,-0.5355440974235535
77,-0.5358908176422119
78,-0.5362356305122375
79,-0.5365797877311707
80,-0.536803126335144
81,-0.5371228456497192
82,-0.5374643802642822
83,-0.5377867817878723
84,-0.5381272435188293
85,-0.5382704734802246
86,-0.5384601950645447
87,-0.5388247966766357
88,-0.5388556718826294
89,-0.5392076969146729
90,-0.5395585894584656
91,-0.5399343967437744
92,-0.540290355682373
93,-0.5406398177146912
94,-0.5411323308944702
95,-0.5414609313011169
96,-0.5418565273284912
97,-0.5422126650810242
98,-0.5425910353660583
99,-0.5429587960243225
