Iteration,Loss
0,-0.16362829506397247
1,-0.16504979133605957
2,-0.16527433693408966
3,-0.1654701977968216
4,-0.16572129726409912
5,-0.16580969095230103
6,-0.16574084758758545
7,-0.1658562421798706
8,-0.16599905490875244
9,-0.16621001064777374
10,-0.16624492406845093
11,-0.16625060141086578
12,-0.16635249555110931
13,-0.16638058423995972
14,-0.16644708812236786
15,-0.1665162891149521
16,-0.16659855842590332
17,-0.16665899753570557
18,-0.16680632531642914
19,-0.16683387756347656
20,-0.1669945865869522
21,-0.16703878343105316
22,-0.1669413149356842
23,-0.16702480614185333
24,-0.16704845428466797
25,-0.1670689433813095
26,-0.167074516415596
27,-0.16713182628154755
28,-0.1672019213438034
29,-0.16724815964698792
30,-0.1672735959291458
31,-0.1674041897058487
32,-0.167433962225914
33,-0.16746939718723297
34,-0.16750672459602356
35,-0.16754232347011566
36,-0.16753463447093964
37,-0.1675732582807541
38,-0.16760751605033875
39,-0.16764116287231445
40,-0.16767562925815582
41,-0.16764169931411743
42,-0.16768525540828705
43,-0.1676982343196869
44,-0.16782784461975098
45,-0.16788794100284576
46,-0.16791552305221558
47,-0.167944073677063
48,-0.16799227893352509
49,-0.16801150143146515
50,-0.16805312037467957
51,-0.16809599101543427
52,-0.16814348101615906
53,-0.16817349195480347
54,-0.16813191771507263
55,-0.16824528574943542
56,-0.16827857494354248
57,-0.16831912100315094
58,-0.1683628112077713
59,-0.16846542060375214
60,-0.16852419078350067
61,-0.16856274008750916
62,-0.16859419643878937
63,-0.16870912909507751
64,-0.16863974928855896
65,-0.1688336879014969
66,-0.16885073482990265
67,-0.1688966155052185
68,-0.16892963647842407
69,-0.16899777948856354
70,-0.16901183128356934
71,-0.16903850436210632
72,-0.1690898984670639
73,-0.16912177205085754
74,-0.16922558844089508
75,-0.1692732721567154
76,-0.16934669017791748
77,-0.1693895161151886
78,-0.16940470039844513
79,-0.169444277882576
80,-0.1695498377084732
81,-0.1696641743183136
82,-0.16966032981872559
83,-0.16971608996391296
84,-0.16973458230495453
85,-0.16977934539318085
86,-0.1698273867368698
87,-0.16997089982032776
88,-0.17003971338272095
89,-0.17007960379123688
90,-0.1701412945985794
91,-0.17018398642539978
92,-0.1702791303396225
93,-0.17032299935817719
94,-0.17032115161418915
95,-0.17038361728191376
96,-0.17042551934719086
97,-0.17044813930988312
98,-0.17043353617191315
99,-0.17046314477920532
