Iteration,Loss
0,-0.18849727511405945
1,-0.2005501687526703
2,-0.22822487354278564
3,-0.2526664137840271
4,-0.2547590434551239
5,-0.2518309950828552
6,-0.25693726539611816
7,-0.2598206698894501
8,-0.26042208075523376
9,-0.26234281063079834
10,-0.26643338799476624
11,-0.26909980177879333
12,-0.27292007207870483
13,-0.27591994404792786
14,-0.27874886989593506
15,-0.28166085481643677
16,-0.2852482199668884
17,-0.2886759042739868
18,-0.2917993664741516
19,-0.29504913091659546
20,-0.29827016592025757
21,-0.30040350556373596
22,-0.30202916264533997
23,-0.30369293689727783
24,-0.304910808801651
25,-0.3057841658592224
26,-0.3063485026359558
27,-0.3061342239379883
28,-0.3059903681278229
29,-0.30533018708229065
30,-0.310433030128479
31,-0.30785462260246277
32,-0.3049522340297699
33,-0.3118633031845093
34,-0.31477975845336914
35,-0.315807044506073
36,-0.31683334708213806
37,-0.31793200969696045
38,-0.31861019134521484
39,-0.31933626532554626
40,-0.32034122943878174
41,-0.3211209774017334
42,-0.3219747841358185
43,-0.3228458762168884
44,-0.3235490322113037
45,-0.3242812156677246
46,-0.3250293433666229
47,-0.3256799876689911
48,-0.32630088925361633
49,-0.32678842544555664
50,-0.32738417387008667
51,-0.3278098404407501
52,-0.3283076882362366
53,-0.3278001844882965
54,-0.3275391459465027
55,-0.32794418931007385
56,-0.32813069224357605
57,-0.32836681604385376
58,-0.3286241292953491
59,-0.3289356529712677
60,-0.3290512263774872
61,-0.3287932574748993
62,-0.3290209174156189
63,-0.3292248845100403
64,-0.329533189535141
65,-0.32974863052368164
66,-0.32994091510772705
67,-0.3302208483219147
68,-0.3305550813674927
69,-0.33075350522994995
70,-0.3307349383831024
71,-0.33100801706314087
72,-0.3309529423713684
73,-0.33134353160858154
74,-0.3312721252441406
75,-0.33149874210357666
76,-0.3319241404533386
77,-0.33193978667259216
78,-0.33222413063049316
79,-0.3322833776473999
80,-0.33246538043022156
81,-0.3325691521167755
82,-0.33270806074142456
83,-0.3322395086288452
84,-0.3321779668331146
85,-0.332292765378952
86,-0.33241236209869385
87,-0.33252233266830444
88,-0.3326316773891449
89,-0.33278894424438477
90,-0.33309707045555115
91,-0.33341410756111145
92,-0.3328731954097748
93,-0.3336727023124695
94,-0.3331559896469116
95,-0.33388257026672363
96,-0.33331239223480225
97,-0.33345019817352295
98,-0.33367449045181274
99,-0.3338276147842407
