Iteration,Loss
0,-0.14101503789424896
1,-0.14662498235702515
2,-0.1483778953552246
3,-0.1510220617055893
4,-0.14944936335086823
5,-0.1519424468278885
6,-0.14835143089294434
7,-0.14645297825336456
8,-0.1502467691898346
9,-0.13854190707206726
10,-0.14036895334720612
11,-0.14249294996261597
12,-0.14863049983978271
13,-0.1521373838186264
14,-0.15016773343086243
15,-0.13518479466438293
16,-0.14876298606395721
17,-0.14888037741184235
18,-0.15059158205986023
19,-0.15127362310886383
20,-0.1396360695362091
21,-0.14581388235092163
22,-0.1491839736700058
23,-0.1492927223443985
24,-0.15402908623218536
25,-0.15645377337932587
26,-0.156154066324234
27,-0.16058577597141266
28,-0.15982936322689056
29,-0.166765958070755
30,-0.1671399474143982
31,-0.16713285446166992
32,-0.16792534291744232
33,-0.1683332920074463
34,-0.1687384843826294
35,-0.169167622923851
36,-0.16965453326702118
37,-0.17048604786396027
38,-0.17133404314517975
39,-0.1726287603378296
40,-0.17289289832115173
41,-0.17395952343940735
42,-0.17451782524585724
43,-0.17442849278450012
44,-0.17484042048454285
45,-0.17518877983093262
46,-0.1754404902458191
47,-0.1756819188594818
48,-0.1759997457265854
49,-0.17632487416267395
50,-0.17667022347450256
51,-0.17658768594264984
52,-0.17694351077079773
53,-0.17737770080566406
54,-0.1778801679611206
55,-0.17841596901416779
56,-0.1790139228105545
57,-0.1790539026260376
58,-0.17952461540699005
59,-0.17995142936706543
60,-0.18029814958572388
61,-0.18050560355186462
62,-0.18071314692497253
63,-0.18025967478752136
64,-0.18000780045986176
65,-0.17895205318927765
66,-0.17658290266990662
67,-0.18056944012641907
68,-0.1760367751121521
69,-0.17798064649105072
70,-0.17938962578773499
71,-0.17609760165214539
72,-0.17775724828243256
73,-0.18024225533008575
74,-0.176285520195961
75,-0.17761754989624023
76,-0.17901067435741425
77,-0.17837907373905182
78,-0.17802956700325012
79,-0.17942048609256744
80,-0.17868709564208984
81,-0.17787444591522217
82,-0.17963682115077972
83,-0.18051674962043762
84,-0.17811688780784607
85,-0.1784965693950653
86,-0.17705541849136353
87,-0.18036964535713196
88,-0.17868296802043915
89,-0.1805662214756012
90,-0.17884793877601624
91,-0.18075352907180786
92,-0.18233667314052582
93,-0.17896467447280884
94,-0.1825547218322754
95,-0.1826065480709076
96,-0.1826901137828827
97,-0.1828116476535797
98,-0.18284142017364502
99,-0.18287348747253418
