Iteration,Loss
0,-0.3599119782447815
1,-0.3603990375995636
2,-0.3616673946380615
3,-0.3585517704486847
4,-0.3682403564453125
5,-0.364459365606308
6,-0.3652336597442627
7,-0.363749623298645
8,-0.3590852916240692
9,-0.3602924942970276
10,-0.36070460081100464
11,-0.3603033125400543
12,-0.36035171151161194
13,-0.3594837188720703
14,-0.3620823323726654
15,-0.36376920342445374
16,-0.3657574951648712
17,-0.3687332272529602
18,-0.36782488226890564
19,-0.3624988794326782
20,-0.3641325831413269
21,-0.36257392168045044
22,-0.3736271858215332
23,-0.3687465488910675
24,-0.3679622411727905
25,-0.3690834939479828
26,-0.37164416909217834
27,-0.3651830852031708
28,-0.36858782172203064
29,-0.36555007100105286
30,-0.3705005645751953
31,-0.36437734961509705
32,-0.3558299243450165
33,-0.3655298352241516
34,-0.3600051999092102
35,-0.36987555027008057
36,-0.36009690165519714
37,-0.3725844919681549
38,-0.37253400683403015
39,-0.365424245595932
40,-0.365492045879364
41,-0.3660893440246582
42,-0.3655928075313568
43,-0.36675214767456055
44,-0.3671981990337372
45,-0.3667294681072235
46,-0.3697045147418976
47,-0.3706305921077728
48,-0.37017765641212463
49,-0.37266185879707336
50,-0.3716374635696411
51,-0.3718474209308624
52,-0.3713889420032501
53,-0.3722168803215027
54,-0.37127843499183655
55,-0.36968564987182617
56,-0.3715827465057373
57,-0.3703708350658417
58,-0.3721623718738556
59,-0.37117356061935425
60,-0.3721770644187927
61,-0.3709271252155304
62,-0.372262567281723
63,-0.37271997332572937
64,-0.37245142459869385
65,-0.3735772967338562
66,-0.3715435266494751
67,-0.3713345527648926
68,-0.3717791736125946
69,-0.3698270618915558
70,-0.3714737594127655
71,-0.37040573358535767
72,-0.3705999553203583
73,-0.37175649404525757
74,-0.37175703048706055
75,-0.3687634766101837
76,-0.3725666403770447
77,-0.3725215792655945
78,-0.3716951012611389
79,-0.3723961114883423
80,-0.37250760197639465
81,-0.371732234954834
82,-0.37298086285591125
83,-0.3714970648288727
84,-0.37230587005615234
85,-0.37236708402633667
86,-0.37172579765319824
87,-0.37242957949638367
88,-0.37285465002059937
89,-0.3734981417655945
90,-0.37152400612831116
91,-0.3733420968055725
92,-0.37150782346725464
93,-0.37283575534820557
94,-0.36987680196762085
95,-0.3723527491092682
96,-0.37316349148750305
97,-0.37136468291282654
98,-0.36746904253959656
99,-0.3684757947921753
