Iteration,Loss
0,-0.3871614634990692
1,-0.4119577407836914
2,-0.4283630847930908
3,-0.43403154611587524
4,-0.43655121326446533
5,-0.4364680051803589
6,-0.43684062361717224
7,-0.4384709596633911
8,-0.43737316131591797
9,-0.4375634491443634
10,-0.43658414483070374
11,-0.4382672607898712
12,-0.436787486076355
13,-0.4385271668434143
14,-0.43570592999458313
15,-0.4379318952560425
16,-0.4359996020793915
17,-0.4377107620239258
18,-0.43633246421813965
19,-0.4377392530441284
20,-0.4369466006755829
21,-0.43835246562957764
22,-0.4365728795528412
23,-0.43786779046058655
24,-0.4370116591453552
25,-0.4380839169025421
26,-0.4377681016921997
27,-0.43713974952697754
28,-0.43816912174224854
29,-0.43790096044540405
30,-0.4373205602169037
31,-0.43802449107170105
32,-0.43723341822624207
33,-0.4380013346672058
34,-0.43760883808135986
35,-0.43802720308303833
36,-0.4376412332057953
37,-0.4380948543548584
38,-0.4377916753292084
39,-0.4380875825881958
40,-0.4379960298538208
41,-0.437968373298645
42,-0.43788546323776245
43,-0.437889039516449
44,-0.43797650933265686
45,-0.4380604922771454
46,-0.4381796419620514
47,-0.43822503089904785
48,-0.4383353590965271
49,-0.43838629126548767
50,-0.4396105110645294
51,-0.43901506066322327
52,-0.44012996554374695
53,-0.43962204456329346
54,-0.4392927587032318
55,-0.4403408169746399
56,-0.43913984298706055
57,-0.4394131302833557
58,-0.439444899559021
59,-0.4392772614955902
60,-0.4394216537475586
61,-0.4397231638431549
62,-0.4398839473724365
63,-0.44051656126976013
64,-0.4410022795200348
65,-0.43985792994499207
66,-0.4402535855770111
67,-0.4390110373497009
68,-0.4401264190673828
69,-0.4399528205394745
70,-0.43977728486061096
71,-0.439638614654541
72,-0.43945544958114624
73,-0.4390743374824524
74,-0.4403868317604065
75,-0.4391348958015442
76,-0.43921220302581787
77,-0.43923938274383545
78,-0.43910691142082214
79,-0.4390248954296112
80,-0.43905317783355713
81,-0.43909695744514465
82,-0.4391115605831146
83,-0.4391476809978485
84,-0.4391893744468689
85,-0.43922290205955505
86,-0.439197301864624
87,-0.4392230212688446
88,-0.4392561912536621
89,-0.43901941180229187
90,-0.4390542507171631
91,-0.43908411264419556
92,-0.4391216039657593
93,-0.4391469657421112
94,-0.4391762912273407
95,-0.4392048418521881
96,-0.4392353594303131
97,-0.43925613164901733
98,-0.4392889142036438
99,-0.4393150508403778
