Iteration,Loss
0,-0.38973280787467957
1,-0.3899838328361511
2,-0.39023417234420776
3,-0.39049115777015686
4,-0.3907615542411804
5,-0.39102301001548767
6,-0.39128366112709045
7,-0.39155715703964233
8,-0.3918200135231018
9,-0.3920689523220062
